[2026-01-09 10:42:33] ERROR: Class "AppException" not found in /var/www/html/buy-match/public/index.php:12
[2026-01-09 10:43:20] ERROR: Class "AppException" not found in /var/www/html/buy-match/public/index.php:12
[2026-01-09 10:45:55] ERROR: Class "AppException" not found in /var/www/html/buy-match/public/index.php:12
[2026-01-09 10:45:56] ERROR: Class "AppException" not found in /var/www/html/buy-match/public/index.php:12
[2026-01-09 10:46:16] ERROR: Test error working in /var/www/html/buy-match/public/index.php:13
[2026-01-09 10:47:31] ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '' for key 'users.email' in /var/www/html/buy-match/app/models/User.php:29
[2026-01-09 10:48:31] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 10:56:42] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 10:56:46] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:00:18] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:00:30] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:00:47] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:04:07] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:07:46] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:07:52] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
[2026-01-09 11:08:43] ERROR: Name is required in /var/www/html/buy-match/app/controllers/UserController.php:57
